keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
ai social media post generator free,en,US,2026-05-08..2026-06-08,falling,3,,google_trends_manual,2026-06-08,,rising,-70%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
ai social media post generator free,en,US,2026-05-08..2026-06-08,falling,3,,google_trends_manual,2026-06-08,,top,-70%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
ai song generator,en,US,2026-05-08..2026-06-08,rising,14,,google_trends_manual,2026-06-08,,rising,150%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai song generator,en,US,2026-05-08..2026-06-08,rising,14,,google_trends_manual,2026-06-08,,top,150%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai video generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,rising,20%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai video generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,top,20%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai video generator free,en,US,2026-05-08..2026-06-08,falling,8,,google_trends_manual,2026-06-08,,rising,-70%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai video generator free,en,US,2026-05-08..2026-06-08,falling,8,,google_trends_manual,2026-06-08,,top,-70%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
api design principles,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,rising,250%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
api design principles,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,top,250%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
artificial intelligence news,en,US,2026-05-08..2026-06-08,rising,2,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
artificial intelligence news,en,US,2026-05-08..2026-06-08,rising,2,,google_trends_manual,2026-06-08,,top,10%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
backend development,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,rising,120%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
banks,en,US,2026-05-08..2026-06-08,rising,9,,google_trends_manual,2026-06-08,,rising,8%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
banks,en,US,2026-05-08..2026-06-08,rising,9,,google_trends_manual,2026-06-08,,top,8%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
best ai image generator,en,US,2026-05-08..2026-06-08,rising,31,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
best ai image generator,en,US,2026-05-08..2026-06-08,rising,31,,google_trends_manual,2026-06-08,,top,10%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
best ai tools for content creation,en,US,2026-05-08..2026-06-08,falling,5,,google_trends_manual,2026-06-08,,rising,-10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
best ai tools for content creation,en,US,2026-05-08..2026-06-08,falling,5,,google_trends_manual,2026-06-08,,top,-10%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
best day to post on instagram,en,US,2026-05-08..2026-06-08,falling,1,,google_trends_manual,2026-06-08,,rising,-90%,searched_with_rising-searches_US_20260508-2027_20260608-2027(2).csv,instagram_carousel,True
best day to post on instagram,en,US,2026-05-08..2026-06-08,falling,1,,google_trends_manual,2026-06-08,,top,-90%,searched_with_top-searches_US_20260508-2027_20260608-2027.csv,instagram_carousel,True
best photo collage apps,en,US,2026-05-08..2026-06-08,breakout,1,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
best photo collage apps,en,US,2026-05-08..2026-06-08,breakout,1,,google_trends_manual,2026-06-08,,top,Breakout,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
best time to post on instagram,en,US,2026-05-08..2026-06-08,rising,26,,google_trends_manual,2026-06-08,,rising,110%,searched_with_rising-searches_US_20260508-2027_20260608-2027(2).csv,instagram_carousel,True
best time to post on instagram,en,US,2026-05-08..2026-06-08,rising,26,,google_trends_manual,2026-06-08,,top,110%,searched_with_top-searches_US_20260508-2027_20260608-2027.csv,instagram_carousel,True
best time to post on tiktok,en,US,2026-05-08..2026-06-08,breakout,0,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,other,False
best time to post on tiktok,en,US,2026-05-08..2026-06-08,breakout,0,,google_trends_manual,2026-06-08,,top,Breakout,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,other,False
blockchain technology,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,rising,110%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,False
blockchain technology,en,US,2026-05-08..2026-06-08,rising,1,,google_trends_manual,2026-06-08,,top,110%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,False
business process optimization,en,US,2026-05-08..2026-06-08,rising,0,,google_trends_manual,2026-06-08,,rising,4%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
candy ai,en,US,2026-05-08..2026-06-08,rising,3,,google_trends_manual,2026-06-08,,rising,4%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
candy ai,en,US,2026-05-08..2026-06-08,rising,3,,google_trends_manual,2026-06-08,,top,4%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
canva,en,US,2026-05-08..2026-06-08,falling,100,,google_trends_manual,2026-06-08,,rising,-10%,searched_with_rising-searches_US_20260508-2021_20260608-2021 (1)(2).csv,other,False
canva,en,US,2026-05-08..2026-06-08,rising,40,,google_trends_manual,2026-06-08,,top,40%,searched_with_top-searches_US_20260508-2018_20260608-2018(1).csv,other,False
canva carousel,en,US,2026-05-08..2026-06-08,falling,22,,google_trends_manual,2026-06-08,,top,-8%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,carousel_general,True
canva instagram carousel,en,US,2026-05-08..2026-06-08,falling,19,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
capcut,en,US,2026-05-08..2026-06-08,falling,2,,google_trends_manual,2026-06-08,,rising,-90%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,other,False
capcut,en,US,2026-05-08..2026-06-08,falling,2,,google_trends_manual,2026-06-08,,top,-90%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,other,False
